model,fold,family,include_market,negative_weight,log_target,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,wape,seen_route_mae,seen_route_rows,unseen_route_mae,unseen_route_rows,normal_target_mae,normal_target_rows,extreme_target_mae,extreme_target_rows
december_equipment_median_rpm,validate_july,equipment_rpm,False,abs,False,0.007147800002712756,0.0032475000043632463,209.59161288095027,661.1973990064306,0.8069319439510461,115.55945817633491,0.0867815948998576,209.86305998638431,4881,166.85182831244296,31,171.23259280165954,4861,3865.7327227913856,51
december_equipment_median_rpm,validate_august,equipment_rpm,False,abs,False,0.005828100001963321,0.00196499999583466,241.1093818845451,667.6403099712094,0.7950705865017338,110.6018913366056,0.10310836124837586,241.4695496347972,4743,134.3421544191698,16,207.4927636702183,4723,4651.422932614138,36
december_equipment_median_rpm,validate_september,equipment_rpm,False,abs,False,0.007071300002280623,0.002245199997560121,227.3228443336537,657.0658007591788,0.8139477406757212,117.74030399063895,0.09446696279129736,227.45224831749627,4659,172.51437517706586,11,191.94333421660636,4620,3496.3895791488253,50
december_equipment_median_rpm,validate_october,equipment_rpm,False,abs,False,0.007201799999165814,0.003051300001970958,231.30495570141687,683.8653433130296,0.7998395899450672,114.08255974557022,0.09722570861212068,231.44469026057357,4845,146.67821331213088,8,190.8399223384965,4802,4041.3655480297234,51
december_equipment_median_rpm,validate_sep_oct,equipment_rpm,False,abs,False,0.005599099997198209,0.0032338999953935854,229.09657316845033,670.6599545300177,0.8068628254206316,115.7156754178261,0.09575813788340864,229.2111483298652,9502,177.25404060824332,21,191.14307181931292,9422,3769.6697386295637,101
december_ridge_log_abs_weight,validate_july,ridge,False,abs,True,0.6247206000043661,0.09092519999830984,185.77525031082703,665.6419727892734,0.8043276103093331,77.63829008640676,0.07692040866182556,185.58641230657736,4881,215.50809865736605,31,143.61911754105657,4861,4203.833316856989,51
december_ridge_log_abs_weight,validate_august,ridge,False,abs,True,0.7364459000018542,0.0895027000005939,168.5724280648833,646.6168474001337,0.8077735132516464,65.14273811675935,0.07208855447090325,168.75806841807417,4743,113.54166586585794,16,132.51128512855496,4723,4899.594041628182,36
december_ridge_log_abs_weight,validate_september,ridge,False,abs,True,0.8612702000027639,0.09808090000296943,206.04043561357364,654.9200837676809,0.8151609027478746,114.16475754562396,0.08562278121085712,205.69898853968797,4659,350.6587917257016,11,168.58479149654866,4620,3666.9419520266824,50
december_ridge_log_abs_weight,validate_october,ridge,False,abs,True,1.0023020000007818,0.08820299999933923,228.49777952577807,689.4853618323201,0.7965362277592426,137.81038870647444,0.09604575251456147,228.49926841546116,4845,227.59607071142696,8,187.94880268453278,4802,4046.462226421069,51
december_ridge_log_abs_weight,validate_sep_oct,ridge,False,abs,True,0.9119635000024573,0.10505069999635452,275.5723631758285,703.3749979018368,0.7875606435107704,177.5475178111201,0.1151841600460996,275.5319775127044,9502,293.84591417608146,21,237.02210831110645,9422,3871.8149506551495,101
december_hgb_mae_abs_weight,validate_july,hgb,False,abs,False,1.3580167999971309,0.10470800000621239,143.16928836526824,628.241371118991,0.825698463550073,70.58851851291365,0.0592793719855231,143.47004320855416,4881,95.81495320144313,31,106.11575105379718,4861,3674.879972111559,51
december_hgb_mae_abs_weight,validate_august,hgb,False,abs,False,1.4130415999970865,0.10148999999364605,101.03828102179173,615.0826210056287,0.8260653492214669,32.724889076419686,0.043208155145528164,101.23645637439466,4743,42.291674934559474,16,67.99642412885781,4723,4435.946339503094,36
december_hgb_mae_abs_weight,validate_september,hgb,False,abs,False,1.4775815999964834,0.10567669999727514,110.21442308972946,618.5004858746428,0.8351468266101895,38.610541436738345,0.045801036123761026,110.31600924847737,4659,67.18806730731708,11,73.78847332543444,4620,3475.9721813105907,50
december_hgb_mae_abs_weight,validate_october,hgb,False,abs,False,1.5760958999962895,0.09586429999762913,110.18284951866373,648.2726055030083,0.8201326521785081,34.46091249759775,0.04631377476919799,110.34326370942495,4845,13.032005238887095,8,69.94675390285487,4802,3898.6873818150184,51
