model,fold,family,include_market,negative_weight,log_target,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,wape,seen_route_mae,seen_route_rows,unseen_route_mae,unseen_route_rows,normal_target_mae,normal_target_rows,extreme_target_mae,extreme_target_rows
global_median,validate_july,global_median,True,abs,False,0.0005918999995628837,0.0009219999992637895,1144.3714393322475,1555.0789634572764,-0.06795522207425875,929.1600000000001,0.47382801867891144,1143.3737676705591,4881,1301.4564516129028,31,1088.3612754577248,4861,6482.908823529412,51
global_median,validate_august,global_median,True,abs,False,0.0006028000025253277,0.0009259999969799537,1111.351385795335,1507.3191458920437,-0.044550949200816925,930.4549999999999,0.4752598976647854,1111.7241060510228,4743,1000.8631250000001,16,1067.6861687486767,4723,6839.985277777778,36
global_median,validate_september,global_median,True,abs,False,0.0006420999998226762,0.0007673000000067987,1151.1144625267668,1570.0829291771606,-0.06233723752637821,924.62,0.47836057752485955,1151.3810517278384,4659,1038.2018181818182,11,1095.1773744588745,4620,6319.7014,50
global_median,validate_october,global_median,True,abs,False,0.0006787999991502147,0.0010261999996146187,1146.7937069853701,1567.9704854490194,-0.05223503666552376,929.1300000000001,0.4820382272202666,1146.5510340557275,4845,1293.7625,8,1088.8166701374428,4802,6605.729607843136,51
global_median,validate_sep_oct,global_median,True,abs,False,0.0014081000008445699,0.001335799999651499,1148.923725716686,1569.4241791607556,-0.05764958163404699,926.97,0.48022890531759843,1148.8366828036203,9502,1188.3085714285712,21,1091.9270537040968,9422,6465.979603960395,101
distance_linear,validate_july,distance_linear,True,abs,False,0.026910099997621728,0.0012735999989672564,191.28090821766705,657.8173352483727,0.8089008395590129,99.97773297690605,0.0792000312457692,191.52737984341172,4881,152.47355320928887,31,152.60820108843714,4861,3877.320699495834,51
distance_linear,validate_august,distance_linear,True,abs,False,0.002333200001885416,0.0016675000006216578,189.1744442544446,631.1167746222427,0.8168787922375874,115.7075885212198,0.0808988301686584,189.39425430321046,4743,124.0145029234198,16,156.94346495279265,4723,4417.699867635063,36
distance_linear,validate_september,distance_linear,True,abs,False,0.003936900000553578,0.0017360999991069548,201.51152862296757,639.6224859153967,0.823694984474736,118.97694435464098,0.08374073504246202,201.60379676957888,4659,162.43177452643144,11,167.02558365595456,4620,3388.012843574969,50
distance_linear,validate_october,distance_linear,True,abs,False,0.001999000000068918,0.0016555000001972076,192.7741904419588,668.2130277041988,0.8088972799553176,103.89902293287435,0.08102985606603905,192.90859281231258,4845,111.37675489647344,8,153.5296232744034,4802,3887.919514728257,51
distance_linear,validate_sep_oct,distance_linear,True,abs,False,0.002278100000694394,0.0011114999979326967,196.9501468558285,654.4156404400273,0.8161056169339608,110.7029254654301,0.08232152518890327,197.05915958123188,9502,147.62448415188885,21,160.0178734363194,9422,3642.2558910005314,101
equipment_median_rpm,validate_july,equipment_rpm,True,abs,False,0.004607700000633486,0.0021150000029592775,209.59161288095027,661.1973990064306,0.8069319439510461,115.55945817633491,0.0867815948998576,209.86305998638431,4881,166.85182831244296,31,171.23259280165954,4861,3865.7327227913856,51
equipment_median_rpm,validate_august,equipment_rpm,True,abs,False,0.004497400001127971,0.0019188000005669892,241.1093818845451,667.6403099712094,0.7950705865017338,110.6018913366056,0.10310836124837586,241.4695496347972,4743,134.3421544191698,16,207.4927636702183,4723,4651.422932614138,36
equipment_median_rpm,validate_september,equipment_rpm,True,abs,False,0.005232799998339033,0.002500700000382494,227.3228443336537,657.0658007591788,0.8139477406757212,117.74030399063895,0.09446696279129736,227.45224831749627,4659,172.51437517706586,11,191.94333421660636,4620,3496.3895791488253,50
equipment_median_rpm,validate_october,equipment_rpm,True,abs,False,0.00921329999982845,0.005468699997436488,231.30495570141687,683.8653433130296,0.7998395899450672,114.08255974557022,0.09722570861212068,231.44469026057357,4845,146.67821331213088,8,190.8399223384965,4802,4041.3655480297234,51
equipment_median_rpm,validate_sep_oct,equipment_rpm,True,abs,False,0.005522799998288974,0.0022603999968850985,229.09657316845033,670.6599545300177,0.8068628254206316,115.7156754178261,0.09575813788340864,229.2111483298652,9502,177.25404060824332,21,191.14307181931292,9422,3769.6697386295637,101
