model,mean_mae,mean_rmse,mean_r2,mean_wape,std_mae,total_fit_seconds,recent_mae
hgb_mae_full_abs_weight,123.973115013692,633.2755778347906,0.8244357580921962,0.051965138551161236,2.50003171557572,10.540262999988045,121.00500185292593
hgb_mae_full_missing_bad_weight,124.28068281193619,634.024191378109,0.8240174391465847,0.05209826762415026,2.89753167120616,7.724300600013521,122.154870986916
extra_trees_full_abs_weight,164.83665843288645,653.2909875768854,0.8128135134331511,0.06913465718021028,33.337631242882345,15.941916900010256,161.99864581334077
ridge_log_full_abs_weight,185.25354414645946,659.8868821188819,0.8093555995498928,0.07759541539388039,20.48427824107394,4.59229790000245,169.55897585399043
distance_linear,194.3382436785733,650.2370527860477,0.8148955026321228,0.08143819554236639,4.917734291341403,0.07372709998162463,192.7741904419588
equipment_median_rpm,227.68507359380322,668.0857615159732,0.80453053729884,0.09546815308701204,11.432546317548786,0.03300259999377886,231.30495570141687
global_median,1140.510944071281,1553.9751406272512,-0.05694560542020492,0.47794312528128435,16.491405875424736,0.00480000000243308,1146.7937069853701
